state,state_avg_income ,state_pop
Ohio,31584.94024,11689442
Alabama,27382.73741,4887871
Wisconsin,32958.97205,5813568
Alaska,35433.39547,737438
West Virginia,26368.82222,1805832
Washington,39053.24874,7535591
Arizona,30458.17832,7171646
Virginia,39096.49729,8517685
Arkansas,26396.3632,3013825
Vermont,33602.61284,626299
Utah,29669.79574,3161105
California,37212.90452,39557045
Texas,30628.98196,28701845
Colorado,37842.48964,5695564
Tennessee,29204.03271,6770010
South Dakota,29060.80278,882235
Connecticut,43929.22381,3572665
South Carolina,28857.12023,5084127
Delaware,34166.50493,967171
Rhode Island,35350.1673,1057315
Pennsylvania,34031.76631,12807060
District of Columbia,54978.76853,702455
Oregon,34357.61487,4190713
Florida,31418.69561,21299325
Oklahoma,28116.95482,3943079
Wyoming,33505.20797,577737
Georgia,31188.55342,10519475
North Dakota,35993.64506,760077
Hawaii,35336.72875,1420491
North Carolina,30725.92727,10383620
New York,38917.19603,19542209
Idaho,27919.99912,1754208
New Mexico,26285.69846,2095428
Illinois,35647.93703,12741080
New Jersey,42964.13471,8908520
New Hampshire,39197.78479,1356458
Indiana,29457.81099,6691878
Nevada,31790.7888,3034392
Iowa,31576.53665,3156145
Nebraska,31453.77215,1929268
Montana,30487.1599,1062305
Kansas,31367.47247,2911510
Missouri,30641.67362,6126452
Kentucky,27893.91985,4468402
Mississippi,24153.03756,2986530
Minnesota,37092.51681,5611179
Louisiana,27375.72766,4659978
Michigan,31440.8126,9995915
Maine,32419.63906,1338404
Massachusetts,43351.28717,6902149
Maryland,41838.97497,6042718
